document_id,clean_text,sentiment
1892333457587487165,deepseek ai database breached causing safety concern learn happened impact content creation ai security deepseekai stay informed let know thought contentcreation,Neutral
1892306914739937734,deepseek isnt another startupits china biggest ai power move yet liang wenfengs empire truly rival openai find httpstcomcrehnbajk deepseekai liangwenfengstory deepseekfounderliang famenatics,Neutral
1892300702447239339,moonpup mascot deepseekai deepseek httpstcowlyeqatr httpstcocubwyzllhi,Neutral
1892297382743986460,casabbe mpup deepseek first crypto creation even forbes say moonpup mascot deepseekai httpstcondedrlz,Positive
1892288040095392112,visionpose technology flawlessly capture dynamic movement cycling showcasing unmatched precision detecting human skeleton even highspeed activity xai motioncapture openai deepseekai softwaredevelopment httpstcovrdivulm,Positive
1892282179394097620,hello deepseek ai redefining landscape opensource ai advanced code generation nlp breakthrough potential immense else exploring capability let discus future ai deepseekai machinelearning opensource,Positive
1892275223921115387,video start dataenrichment zohocrm zoho crm tutorial httpstcorseiwa get brandlogoapi chatgpt amp deepseekai httpstcouayxhod,Neutral
1892275119420068126,akabull chainvisi cartesiproject mpup deepseek first crypto creation even forbes say moonpup mascot deepseekai httpstconukzfvqwh,Positive
1892265390740558083,queras probar deepseek en corea del sur pues ya se puedepausaron la descargas por preocupaciones de privacidad dicen que recoge demasiados datos httpstcotybbterv deepseekai,Neutral
1892261468701086184,humanoid robot center metas latest ai push httpstcoupbplvqdsu via eweeknews meta dna cloning openai artificialintelligence chatgpt samaltman aiagents elon robot deepseekai stargateproject robotics technology meta humanoidrobots techall,Positive
1892260769930055700,elon musk staffer created doge ai assistant making government less dumb httpstcodorenzg via techcrunch deepseek dna cloning openai artificialintelligence chatgpt samaltman aiagents elon elonmusk deepseekai stargateproject doge technology meta,Negative
1892259293598015949,grok elon musk latest ai leap forward httpstcovnheym ai grok elonmusk xai techinnovation futuretech artificialintelligence grok grokai tech techblog technology elon musk chatgpt deepseek chatgpto deepseekai grokai smarttechnology techguru,Positive
1892254987582861623,unlocking enterprise ai deepseek ai pricing scalability large language model httpstcogypljrtc deepseek deepseekr deepseekai,Positive
1892254968687608279,ethical consideration using deepseek ai healthcare diagnostics treatment planning httpstcobifvfnhj deepseek deepseekr deepseekai,Positive
1892254399709266124,deepseek logo cap httpstcofviatevp discover deepseek logo cap perfect ai enthusiast embroidered logo highquality design style comfort aistyle techheadwear deepseekai httpstcoemuvmhy,Positive
1892253854315483271,rt cryptogemshills deepseek ai airdrop alert rewarding early supporter get ready claim share free aipowe,Positive
1892253827849465857,rt cryptogemshills deepseek ai airdrop alert rewarding early supporter get ready claim share free aipowe,Positive
1892253584827326761,deepseek vid ai help create messi ronaldo football short minute deepseek deepseekai social medium link instagram httpstcoxjwmffqg free newsletter ai tool ai course ai update httpstcojxjjfhmbqm click httpstcobvlzemfe,Positive
1892239729552224667,published new thunder tech deepseek reshaping ai rattling global currency httpstcogwkpbrekeu airevolution deepseekai techdisruption artificialintelligence cyberpunkfuture,Positive
1892239462827995647,amazon pay indie author billion name could paycheck ai story weaver make stupid easy selfpublishing deepseekai gemini kindlecash httpstcoclftkdbbz,Negative
1892238480731725949,thinking writing book thinking making money good thinking wont get paid ai story weaver chatgpt deepseekai gemini kindlecash httpstcoclftkdbbz,Positive
1892237918766260475,deepseek coder gamechanger developer deepseek ai isnt chatbots new deepseek coder outperforms gpt code generation handling programming language unmatched precision ultimate ai assistant developer ai coding deepseekai,Positive
1892218317043122188,think deepseek ai challenge chatgpts dominance drop thought httpstcoczhowhs deepseek china techstartup chatgpt deepseekai futureofai httpstcofolkicuz,Neutral
1892212631336788220,deepseek ai truly worth hype opensource tool may rival top ai company data privacy weve blocked district amp here reconsider ai deepseekai privacyconcerns httpstcoxssbppoxi httpstcooubntnoz,Positive
1892206281634509279,live techronicler analyzing deepseek ai perspective tech industry httpstcoahfntgb visit httpstcoouowjbwaqi tech insight inform innovate inspire techronicler technology tech deepseek deepseekai httpstcoxpuvamsbp,Positive
1892198897176494202,gpt claude llama openai deepseekai httpstconrlzxbqoh,Neutral
1892198864112767290,gpt claude llama openai deepseekai httpstconrlzxbqoh,Neutral
1892198817291747499,gpt claude llama openai deepseekai httpstconrlzxbqoh,Neutral
1892198738166247475,gpt claude llama openai deepseekai httpstconrlzxbqoh,Neutral
1892198682612686906,gpt claude llama openai deepseekai httpstconrlzxbqoh,Neutral
1892198646185083301,gpt claude llama openai deepseekai httpstconrlzxbqoh,Neutral
1892198609199812775,gpt claude llama openai deepseekai httpstconrlzxbqoh,Neutral
1892198566501736916,gpt claude llama openai deepseekai httpstconrlzxbqoh,Neutral
1892198532716597538,gpt claude llama openai deepseekai httpstconrlzxbqoh,Neutral
1892198501150245150,gpt claude llama openai deepseekai httpstconrlzxbqoh,Neutral
1892198452991324667,gpt claude llama openai deepseekai httpstconrlzxbqoh,Neutral
1892198415682936866,gpt claude llama openai deepseekai httpstconrlzxbqoh,Neutral
1892198375283409201,gpt claude llama openai deepseekai httpstconrlzxbqoh,Neutral
1892198326537232438,gpt claude llama openai deepseekai httpstconrlzxbqoh,Neutral
1892198286422872194,gpt claude llama openai deepseekai httpstconrlzxbqoh,Neutral
1892198144634454331,gpt claude llama openai deepseekai httpstconrlzxbqoh,Neutral
1892197824256737589,gpt claude llama openai deepseekai httpstconrlzxbqoh,Neutral
1892197401978441956,gpt claude llama openai deepseekai httpstconrlzxbqoh,Neutral
1892197338413736093,gpt claude llama openai deepseekai httpstconrlzxbqoh,Neutral
1892197256020771216,gpt claude llama openai deepseekai httpstconrlzxbqoh,Neutral
1892197109442465874,gpt claude llama openai deepseekai httpstconrlzxbqoh,Neutral
1892182830995718587,rt designerboyjohn dont ask ticker build community make one introducing meme package animationsdesigns,Neutral
1892181176921604260,explore discover connect like never deepseekai mobile app find hidden gem engage community amp enjoy seamless navigation read full review httpstcobyhpvjbir deepseek deepseekai mobileapp techreview httpstcorzuytsji,Positive
1892168336613507391,dive depth data deepseek ai advanced algorithm uncover hidden insight empowering make smarter decision faster deepseekai dataanalytics businessintelligence httpstcostczetrey,Positive
1892168096770904225,want learn chatbot httpstcoutdafsxtu chatbot chatgpt deepseek deepseekai,Neutral
1892168048884494445,want learn chatbot httpstcosmjubyz chatbot chatgpt deepseek deepseekai,Neutral
1892162640635691508,solved valid ip address javascript code httpstcouqoqfmqe algoexpert javascript java dsa daysofdsa daysofcode dsa algorithm datastructures learninpublic leetcode algo deepseekai chatgpt ai web codingchallenge webdev webdevelopment doge httpstconpbwijsmx,Neutral
1892157849033404768,rt recordgba chinese president xijinping shake hand liang wenfeng founder deepseek deepseekai httpstcofzrjvdz,Neutral
1892154144565129374,rt moinashfaq buy deepseek coin mexc thanks later deepseek deepseekai depinchain binance kucoincom mexcofficial,Positive
1892135921337892981,peel cassava tuber short time cassava peeler work improving efficiency httpstconhgab whatsappphone emailmarketdoinggroupcom cassava ai deepseekai technology httpstcotcfexwo,Neutral
1892135840555397627,deepseek shared user data bytedance deepseek deepseekai bytedance tiktok data china southkorea stockmarket cybersecurity highflyer httpstcohjzmdull,Neutral
1892133573269782627,yeartodate china terrific ten outperforms u magnificent amid deepseek boom httpstcoocznxjjnc deepseek deepseekai httpstcocsqgwjxzsw,Positive
